Formula,Space group number,Band Gap (eV),Debye T (K)
BrOPr,129,4.46,230
Br4ORb6,167,1.53,323
Br2ORb4,139,0.59,296
BrORb3,221,0.41,260
BrOSc,59,3.24,231
BrOSm,129,4.52,273
Br6OSr4,186,4.22,263
BrOTm,129,4.35,243
BrOV,59,1.45,237
BrOY,129,4.49,237
CGd3In,221,0.00,386
CSnTm3,221,0.11,512
CSnYb3,221,0.01,522
Ca4Cl6O,186,5.22,377
Ca3Cl3P,221,1.84,278
CaF6Sn,225,5.38,309
CaF6Sn,148,5.41,309
CaF6Sn,225,5.38,309
Ca6GaN5,193,0.81,528
Ca3Ga2N4,15,1.91,558
Ca2Ga2O5,46,2.17,588
Ca5Ga6O14,36,3.07,502
Ca3Ga4O9,35,2.64,511
CaGa2O4,62,2.98,565
CaGa2O4,33,2.99,447
CaGa2O4,14,3.20,449
CaGa4O7,15,2.53,493
CaGa2S4,70,2.91,343
Ca7GeN6,60,2.23,545
Ca4GeN4,14,1.59,556
CaGeN2,122,2.66,545
Ca3GeO,74,0.16,413
Ca2GeO4,139,2.90,654
Ca5Ge3O11,2,3.35,508
CaGeO3,88,2.51,533
CaGeO3,62,2.02,610
CaGeO3,2,3.47,449
CaGe2O5,55,2.69,504
CaGe2O5,15,2.71,467
Ca2Ge7O16,117,2.86,502
Ca2GeS4,62,2.51,336
Ca3NP,221,0.80,474
Ca2N3P,64,2.60,703
Ca4N4Si,14,1.45,562
Ca5N6Si2,15,2.16,591
Ca5N6Si2,12,2.46,591
CaN2Si,61,3.44,662
Ca2N8Si5,61,3.65,770
Ca2N8Si5,9,3.35,776
Ca4OP2,139,1.27,362
Ca4O19P6,2,5.36,469
CaO6P2,14,5.72,409
CaO6P2,9,5.53,410
CaO6P2,9,5.53,457
CaO11P4,14,5.34,434
Ca4OSb2,139,0.91,262
Ca2O7Sb2,227,0.19,441
Ca2O7Sb2,74,1.73,402
Ca2O7Sb2,227,0.19,444
CaO6Sb2,162,2.69,401
Ca3OSi,62,0.19,497
Ca3O5Si,160,3.70,534
Ca2O4Si,139,4.36,669
Ca8O18Si5,60,4.55,406
CaO3Si,15,4.73,494
CaO3Si,221,3.45,858
CaO3Si,2,4.84,524
CaO3Si,2,4.84,494
CaO3Si,15,4.73,459
CaO3Si,14,5.12,464
CaO3Si,2,4.84,500
CaO5Si2,2,4.78,500
Ca2O4Sn,55,2.71,530
CaO3Sn,148,2.94,560
CaO3Sn,62,2.33,553
CaO3Sn,221,1.39,635
CaPS3,14,3.07,400
Ca2S5Sb2,14,1.81,241
Ca2S4Sn,62,2.26,306
Ce2Ge3O9,2,0.00,457
CeN5Si3,19,0.24,633
CeO9P3,20,0.22,495
CeO12P4,15,1.23,471
CeO14P5,53,0.31,497
CeO14P5,1,0.10,501
Ce10OS14,142,0.00,200
Ce3O3S2,62,0.00,226
CePS4,142,0.08,304
Ce6S17Si4,2,0.14,308
Ce4S12Si3,161,0.06,288
Cl4CsGa,62,4.49,92
Cl6Cs2Ge,225,2.22,106
Cl3CsGe,160,2.64,114
Cl9Cs3In2,167,3.46,96
Cl4Cs6O,167,1.98,352
ClCs3O,62,1.60,309
Cl6CsSb,15,2.00,83
Cl6Cs2Sb,141,0.09,66
Cl9Cs3Sb2,62,2.63,74
Cl5CsSn2,140,3.06,77
Cl6Cs2Sn,225,2.59,118
Cl3CsSn,14,2.92,130
ClDyO,129,5.17,300
Cl6Eu4O,186,0.88,261
Cl4GaK,14,4.36,110
Cl7Ga2K,33,4.05,129
Cl4GaLi,14,4.49,123
Cl3GaLi,62,3.69,117
Cl4GaRb,62,4.40,119
ClGdO,129,2.99,311
ClHoO,129,5.18,299
Cl6InK3,14,3.63,124
Cl6InNa3,163,3.78,191
Cl6InNa3,163,3.78,193
Cl15InNb6,51,0.01,293
Cl5In2Pr,62,2.78,110
Cl9In2Ta3,12,1.30,133
Cl7InY2,62,4.01,104
ClK3O,62,1.08,280
Cl5K2Sb,14,3.25,123
Cl6K2Sn,14,2.67,134
Cl6K2Sn,128,2.46,141
Cl6K2Sn,225,2.46,175
ClLaO,129,4.07,231
ClLi3O,221,4.68,681
Cl8Mo2O,13,0.92,172
Cl4MoO,2,1.72,197
Cl3MoO,14,2.45,190
ClNa3O,221,2.03,408
Cl5NaSn2,58,2.98,41
Cl3NbO,136,2.40,188
Cl3NbO,113,2.80,173
Cl5Nb3O2,58,0.90,240
ClNb3O7,62,2.02,479
Cl10NbP,2,2.27,43
ClNdO,129,4.77,272
ClOPr,129,4.70,272
Cl4ORb6,167,1.67,328
ClOSm,129,4.88,330
Cl6OSr4,186,4.56,312
ClOTm,166,4.53,242
ClOTm,166,4.53,237
ClOTm,129,5.09,326
ClOV,59,1.64,279
Cl4OW,79,2.34,241
Cl3OW,136,1.72,265
ClOY,166,4.27,263
ClOY,129,5.09,341
Cl6OYb4,186,5.18,245
Cl10PTa,2,2.33,27
Cl13PTi2,62,2.32,161
Cl9PTi,2,2.16,157
Cl6Rb2Sn,225,2.54,154
Cl6SnZr,7,2.23,105
Cs3F9Ga2,185,5.85,146
Cs3F7Ge,127,4.39,124
Cs2F6Ge,225,6.03,160
CsF4Sb,55,4.46,143
CsF6Sb,148,5.09,219
CsF7Sb2,15,4.11,122
CsF7Sb2,15,4.11,122
CsF11Sb2,14,4.42,144
CsF16Sb3,29,3.92,177
Cs3F7Si,127,5.63,123
Cs2F6Si,225,6.97,155
Cs2F6Sn,164,5.34,198
CsGaS2,15,3.05,177
CsGaS3,14,2.63,215
CsGa3S5,14,2.95,138
Cs2GeO3,14,3.06,138
Cs2Ge2S5,15,2.42,75
Cs3InO3,14,2.12,195
CsIn3O5,62,1.47,283
CsInS2,15,2.17,213
CsIn5S8,12,1.27,218
Cs3N11P6,213,4.09,446
CsN7P4,62,3.87,471
Cs3O3Sb,198,3.08,195
Cs4O5Sb2,8,2.57,224
CsO2Sb,15,2.38,288
Cs3O14Sb5,55,0.91,182
Cs10O9Si7,13,1.36,191
Cs2O3Si,14,3.42,141
Cs4O8Si3,2,3.66,148
Cs2O5Si2,14,4.24,118
Cs4O4Sn,14,2.34,223
Cs2O3Sn2,62,2.58,114
CsPS3,71,1.91,237
CsS2Sb,14,1.84,225
Cs2S7Sb4,14,1.62,116
CsS4Sb2,2,1.44,150
Cs4S23Sb14,2,1.37,236
CsS6Sb,14,1.78,192
CsS3Sn,2,1.65,223
Cs2S14Sn,14,1.47,139
Dy3GaO6,36,3.59,379
